# Global annual mole fraction for CFC-115 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-05-06 13:46:37.394347+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_annual_mole_fraction,Global_annual_mole_fraction_1-sigma
1978,6,1978.46,1.3700636813063625,0.09119633305895178
1979,6,1979.46,1.6337975653465309,0.07911540486571678
1980,6,1980.46,1.8189220846536687,0.07647005808130031
1981,6,1981.46,1.9966553352171248,0.08677882583191854
1982,6,1982.46,2.287722598714974,0.0960489009337263
1983,6,1983.46,2.570712679972876,0.09582308366573435
1984,6,1984.46,2.8851632834890464,0.1071541857229789
1985,6,1985.46,3.301542813358111,0.12322752405985408
1986,6,1986.46,3.775839935083767,0.1298909767216933
1987,6,1987.46,4.221460977141503,0.1392678971260363
1988,6,1988.46,4.621353628243168,0.15061887984216465
1989,6,1989.46,5.039112282846706,0.15849277588135063
1990,6,1990.46,5.502188198260302,0.17187849400003205
1991,6,1991.46,5.944930395095028,0.1825379434980632
1992,6,1992.46,6.314514311838102,0.19449653597639746
1993,6,1993.46,6.654395014494298,0.20475821627361104
1994,6,1994.46,6.999470171747183,0.21343332644982826
1995,6,1995.46,7.322449737015508,0.22376154238579724
1996,6,1996.46,7.587019140957019,0.2296692424698206
1997,6,1997.46,7.797805700763725,0.23469730762039048
1998,6,1998.46,7.962861180623172,0.2397247938458316
1999,6,1999.46,8.066784646967179,0.2408991327551567
2000,6,2000.46,8.131868749957926,0.24213323485286545
2001,6,2001.46,8.195737765535197,0.24729259362716677
2002,6,2002.46,8.259823935722466,0.24729698865523342
2003,6,2003.46,8.311794852634359,0.24673651234114066
2004,6,2004.46,8.341937635567229,0.24712416921253494
2005,6,2005.46,8.353399732524668,0.2463692482492136
2006,6,2006.46,8.35955196768894,0.24575637537345155
2007,6,2007.46,8.361504029970897,0.24556913229971766
2008,6,2008.46,8.36653359587272,0.24561289498334507
2009,6,2009.46,8.372668957593321,0.24572575790598988
2010,6,2010.46,8.377685229425273,0.24668637945159097
2011,6,2011.46,8.389918778177984,0.24685178302942848
2012,6,2012.46,8.40535081820022,0.24709527224964542
2013,6,2013.46,8.416939606626288,0.24767709475099156
2014,6,2014.46,8.4344708887507,0.24805382481792357
2015,6,2015.46,8.463094424589622,0.2492241783446345
2016,6,2016.46,8.500904712451407,0.25058292475563226
2017,6,2017.46,8.558591995372813,0.25214689103013915
2018,6,2018.46,8.622468112141284,0.2542391725949297
2019,6,2019.46,8.674373960944022,0.2554659345664572
2020,6,2020.46,8.706485702269388,0.2556176209092472
2021,6,2021.46,8.74542077248758,0.25718874484596876
