# Global annual mole fraction for CFC-113 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2022-05-06 13:47:41.384757+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_annual_mole_fraction,Global_annual_mole_fraction_1-sigma
1982,6,1982.46,27.44578529388126,0.8585330243361831
1983,6,1983.46,30.48525940930412,0.7160330244710493
1984,6,1984.46,34.79750116509286,0.598564353027358
1985,6,1985.46,39.64756400227348,0.6189933226692783
1986,6,1986.46,44.461997856080124,0.6858062528602996
1987,6,1987.46,50.77116526112187,0.786707567043951
1988,6,1988.46,57.84471817669387,0.8866019859602072
1989,6,1989.46,64.44620056857158,0.9875339182534097
1990,6,1990.46,70.69530207202011,1.0850645254940274
1991,6,1991.46,75.97052120692379,1.166561443792266
1992,6,1992.46,80.36497439241809,1.231410368847758
1993,6,1993.46,82.47580315651092,1.2635716696922696
1994,6,1994.46,83.29676954598332,1.2720215544617708
1995,6,1995.46,83.61274898662053,1.278178012704752
1996,6,1996.46,83.52741485334361,1.2805958925919276
1997,6,1997.46,83.34578148041794,1.275976404389548
1998,6,1998.46,83.02426454833751,1.2708391289082372
1999,6,1999.46,82.5103046797932,1.2581383566439612
2000,6,2000.46,82.1141166559259,1.2586427693506987
2001,6,2001.46,81.56524143075228,1.24951806662939
2002,6,2002.46,80.7777797354769,1.2388996152666134
2003,6,2003.46,79.95280624958146,1.2254833160944754
2004,6,2004.46,79.08579880575176,1.2093291310707706
2005,6,2005.46,78.50230705776413,1.2052414414503385
2006,6,2006.46,77.87580565827062,1.195629871836758
2007,6,2007.46,77.17192706897288,1.182101381154385
2008,6,2008.46,76.51163966653135,1.1720017545204537
2009,6,2009.46,75.83194622481881,1.1612531722899737
2010,6,2010.46,75.21918100257962,1.15326270948822
2011,6,2011.46,74.62796278805213,1.1423387089900547
2012,6,2012.46,74.02622229361249,1.1342700575200804
2013,6,2013.46,73.4324343051634,1.1243492562445556
2014,6,2014.46,72.79819809643088,1.115683916280431
2015,6,2015.46,72.14453249963793,1.1038741706343185
2016,6,2016.46,71.48003422779551,1.095585181437948
2017,6,2017.46,70.9924366199229,1.0888254638776493
2018,6,2018.46,70.46539474210051,1.0781166769837778
2019,6,2019.46,69.89111002524471,1.0714804384650318
2020,6,2020.46,69.3637256589159,1.0619251696577314
2021,6,2021.46,68.82290957557466,1.0526660328405346
